displayTitle,embeddingText,url,imageUrl,productType,discount,price,variants,createDate
"Time and Tru Women's Tall Slouch Boots","Time and Tru Women's Tall Slouch Boots Clothing fashion Color (Emerald, Rose, Brown), Size (6, 7, 9, 10, 8), ",https://wizybot-demo-store.myshopify.com/products/time-and-tru-womens-tall-slouch-boots,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at1.04.12PM.png?v=1687543539,Clothing,0,"0.0 USD","Color (Emerald, Rose, Brown), Size (6, 7, 9, 10, 8), ","2024-04-30 16:18:55.600684"
"Luv Betsey By Betsey Johnson Women's Ruffle Tiered Dress","Luv Betsey By Betsey Johnson Women's Ruffle Tiered Dress Clothing fashion Size (S, M, L, XL, XXL) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/luv-betsey-by-betsey-johnson-womens-ruffle-tiered-dress,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at10.14.29AM.png?v=1687533351,Clothing,1,"17.0 USD","Size (S, M, L, XL, XXL)","2024-04-30 16:18:52.589365"
"Safely Everyday Laundry Detergent","Safely Everyday Laundry Detergent Home Home  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/safely-everyday-laundry-detergent,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at12.16.35PM.png?v=1687627070,Home,1,"25.0 USD",,"2024-04-30 16:18:57.805657"
"NEWTZ Little & Big Boys Water Shoes","NEWTZ Little & Big Boys Water Shoes Clothing fashion Size (6, 7, 8, 9, 10) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/newtz-little-big-boys-water-shoes,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at11.39.18AM.png?v=1687624900,Clothing,1,"27.0 USD","Size (6, 7, 8, 9, 10)","2024-04-30 16:18:55.765582"
"The Falsies Waterproof Mascara Makeup","The Falsies Waterproof Mascara Makeup Clothing fashion  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/the-falsies-waterproof-mascara-makeup,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at12.21.51PM.png?v=1687627675,Clothing,1,"8.0 USD",,"2024-04-30 16:18:57.818461"
"POPYOUNG Womens Summer Casual Tank Tops Sleeveless V-Neck tees Pleated Tunic Blouses","POPYOUNG Womens Summer Casual Tank Tops Sleeveless V-Neck tees Pleated Tunic Blouses Clothing fashion Size (s, m, l), Color (Red, Black, Brown),  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/popyoung-womens-summer-casual-tank-tops-sleeveless-v-neck-tees-pleated-tunic-blouses,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at1.57.12PM.png?v=1687633218,Clothing,1,"5.0 USD","Size (s, m, l), Color (Red, Black, Brown), ","2024-04-30 16:18:57.939388"
"Little & Big Boys Slide Sandals","Little & Big Boys Slide Sandals Clothing fashion Color (red, black), Size (6, 7, 8),  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/little-big-boys-slide-sandals,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at11.41.56AM.png?v=1687625102,Clothing,1,"13.0 - 15.0 USD","Color (red, black), Size (6, 7, 8), ","2024-04-30 16:18:55.771902"
"Hardside Spectre Versus Carry-On Lugagge","Hardside Spectre Versus Carry-On Lugagge Home Home Color (Green, Purple, Gray) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/hardside-spectre-versus-carry-on-lugagge,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at11.19.35AM.png?v=1687623648,Home,1,"300.0 USD","Color (Green, Purple, Gray)","2024-04-30 16:18:55.708964"
"Piece Luggag Sets Nested Spinner Suitcase","Piece Luggag Sets Nested Spinner Suitcase Home Home Color (Blue, White) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/piece-luggag-sets-nested-spinner-suitcase,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at11.21.49AM.png?v=1687623783,Home,1,"600.0 USD","Color (Blue, White)","2024-04-30 16:18:55.717590"
"Large Heavy Duty 24 oz. Cotton Canvas Shopping Tote Bag Black","Large Heavy Duty 24 oz. Cotton Canvas Shopping Tote Bag Black Clothing fashion Color (Black, Green, White, Red) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/large-heavy-duty-24-oz-cotton-canvas-shopping-tote-bag-black,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at1.15.38PM.png?v=1687544238,Clothing,1,"34.0 USD","Color (Black, Green, White, Red)","2024-04-30 16:18:55.628595"
